expression,size,complexity_space,f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
N or N,2,1,0.8177777777777778,0.8177777777777778,0.8177777777777778,0.8177777777777778,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.835789551436,0.835789551436,0.835789551436,0.835789551436
N and N or N and N or N,5,10,0.6839346086329399,0.49476755025142116,0.5781728105866037,0.6309922769286296,0.5895833333333333,0.5604166666666667,0.60625,0.54375,0.7623077859532968,0.3673790201886176,0.46055436422309476,0.6691324419188197,0.6231884057971013,0.762962962962963,0.7818181818181816,0.5999999999999999,0.6883160172752052,0.5287124774362136,0.5992403335415261,0.6327729061944959
N and N and N,3,1,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.2955555555555556,0.2955555555555556,0.2955555555555556,0.2955555555555556,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.45149081378786804,0.45149081378786804,0.45149081378786804,0.45149081378786804
N,1,1,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,0.960947570824873,0.960947570824873,0.960947570824873,0.960947570824873
N and N or N or N,4,3,0.7920374697766003,0.6340035546382295,0.6340035546382295,0.7920374697766003,0.6916666666666667,0.5833333333333334,0.5833333333333334,0.6916666666666667,0.8631364931364932,0.5216174566174565,0.5216174566174565,0.8631364931364932,0.7384615384615384,0.8190476190476187,0.8190476190476187,0.7384615384615384,0.7963821701030168,0.6518446719179849,0.6518446719179849,0.7963821701030168
N or N and N,3,2,0.7695622895622894,0.5402645502645503,0.7695622895622894,0.5402645502645503,0.7083333333333334,0.525,0.7083333333333334,0.525,0.7553968253968255,0.4263492063492063,0.7553968253968255,0.4263492063492063,0.8,0.7555555555555556,0.8,0.7555555555555556,0.7736016795682903,0.5648943984579188,0.7736016795682903,0.5648943984579188
N and N,2,1,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.7983127663125443,0.7983127663125443,0.7983127663125443,0.7983127663125443
N and N and N or N or N,5,6,0.7540475011335327,0.4129797458820448,0.4129797458820448,0.7540475011335327,0.6479166666666667,0.48541666666666666,0.48541666666666666,0.6479166666666667,0.8273217667900667,0.2757948879017664,0.2757948879017664,0.8273217667900667,0.6959999999999998,0.8285714285714286,0.8285714285714286,0.6959999999999998,0.7578329690984186,0.4773812678656321,0.4773812678656321,0.7578329690984186
N and N or N and N,4,4,0.5952661064425769,0.4287645687645687,0.557997557997558,0.4895482295482295,0.6166666666666667,0.5916666666666667,0.6333333333333333,0.575,0.5502116402116403,0.2955555555555555,0.45005291005291,0.39571428571428574,0.657142857142857,0.7999999999999999,0.7466666666666667,0.6533333333333334,0.5994474081985989,0.4842891033737074,0.5777436900270329,0.5066607749312241
N or N or N,3,1,0.94991452991453,0.94991452991453,0.94991452991453,0.94991452991453,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9428571428571427,0.9428571428571427,0.9428571428571427,0.9428571428571427,0.9516369496109687,0.9516369496109687,0.9516369496109687,0.9516369496109687
